Row #,NMFS Tracking Number,TITLE,Consultation Type,Status,Profile,Discussion Start Date,Date Request for Consultation Received,Consultation Initiation Date,Estimated Response Date,NMFS Response Date,More Information Requested Below,Mutually Agreed Extension Date,Date of Draft Release of Biological Opinion,Lead Federal Action Agency,Line Office,Common Name,Population Name,Listing Status,Action Agency Proposed Effect Determination (Species),NMFS Final Determination (Species),Action Agency Proposed Effect Determination (Critical Habitat),NMFS Final Determination (Critical Habitat),Reason Consultation Ended,Reason Early Coordination Ended,NMFS Conclusion Regarding Impacts to Fish Habitat,State,County,Latitude,Longitude,Datum,Activity Location,HUC_NUMBER,COMMENTS,NMFS Lead Region,NMFS Office,NMFS Division,NMFS State Office,Branch Team,NMFS Project Lead
11,790006,REEF FISH RESOURCES FMP,Formal,,"ESA-S7, Formal",,,,,1979-04-24,,,,,,"Turtle, olive ridley sea",Mexican Breeding Population,,,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,GULF OF MEXICO,,,SER,,,,,J Tyler
12,790007,MAINTENANCE DREDGE FEDERAL CHANNEL,Formal,,"ESA-S7, Formal",,,,,1979-05-17,,,,,,"Sturgeon, shortnose",Range-wide,,,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,"HUDSON RIVER, NORTH GERMANTOWN/ALBANY, NY",,,NER,,,,,J Tyler
13,790008,Issuance of Research Permit on Hawaiian Monk Seals,Formal,Completed,"ESA-S7, Formal",,,,,1979-06-20,,,,,,"Seal, Hawaiian monk",Hawaiian Islands,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,Kure Atoll,,,FPR,"Silver Spring, MD",,,,"Miller, R."
14,790009,LOBSTER FISHERY FMP,Formal,,"ESA-S7, Formal",,,,,1979-07-18,,,,,,"Whale, sperm",Range-wide,,,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,GULF OF MEXICO,,,SER,,,,,L Haines
15,790010,LEASE SALE 42,Formal,,"ESA-S7, Formal",,,,,1979-07-25,,,,,,"Whale, right, North Atlantic",Western Atlantic Stock,,,"Jeopardy, No Adverse Mod",,"Jeopardy, No Adverse Mod",,,,,,,,,GULF OF MEXICO,,,SER,,,,,J Tyler
16,790014,LEASE SALE 49,Formal,,"ESA-S7, Formal",,"Jun 13, 1979 12:00:00 AM",,,1979-10-17,,,,,,"Turtle, loggerhead sea",Range-wide,,,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,ATLANTIC OCEAN,,,NER,,,,,T Loughlin
17,790015,MANTEO (SHALLOWBAG) BAY PROJECT,Formal,,"ESA-S7, Formal",,,,,1979-10-25,,,,,,"Whale, fin",Range-wide,,,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,"DARE COUNTY, NC",,,SER,,,,,J Tyler
18,790016,PORT EVERGLADES HARBOR DEEPENING PROJECT,Formal,,"ESA-S7, Formal",,,,,1979-11-19,,,,,,"Turtle, green sea",Range-wide,,,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,"PORT EVERGLADES, FLORIDA",,,SER,,,,,K Hollingshead
19,790017,TRINITY RIVER PROJECT,Formal,,"ESA-S7, Formal",,,,,1979-11-19,,,,,,"Whale, sperm",Range-wide,,,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,"TRINITY RIVER, GALVESTON BAY-FORT WORTH, TX",,,SER,,,,,K Hollingshead
20,790018,HUMAN ACTIVITY IN GLACIER BAY NAT'L MONUMENT,Formal,Completed,"ESA-S7, Formal",,"Aug 4, 1979 12:00:00 AM",,,1979-12-03,,,,,,"Whale, humpback",Range-wide,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,GLACIER BAY NATIONAL MONUMENT,,,AKR,,,,,T Loughlin
21,790019,BSAI GROUNDFISH FMP,Formal,,"ESA-S7, Formal",,,,,1979-12-14,,,,,,"Whale, sperm",Range-wide,,,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,BERING SEA/ALEUTIAN ISLANDS,,,AKR,,,,,T Loughlin
22,800002,AIRBORNE PULSED LASER EXPERIMENT,Formal,,"ESA-S7, Formal",,,,,1980-04-02,,,,,,"Whale, right, North Atlantic",Western Atlantic Stock,,,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,"ST. CROIX, U.S. VIRGIN ISLANDS",,,SER,,,,,K Hollingshead
23,800003,SALEM/HOPE CREEK NUCLEAR GENERATING STATIONS,Formal,,"ESA-S7, Formal",,"Oct 29, 1979 12:00:00 AM",,,1980-04-15,,,,,,"Sturgeon, shortnose",Range-wide,,,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,"DELAWARE RIVER, NJ",,,NER,,,,,T Loughlin
24,800005,MULTIPURPOSE DEEPWATER PORT,Formal,,"ESA-S7, Formal",,"Aug 21, 1979 12:00:00 AM",,,1980-04-30,,,,,,"Turtle, loggerhead sea",Range-wide,,,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,"GALVESTON, TX",,,SER,,,,,K Hollingshead
25,800006,SHRIMP FISHERY MANAGEMENT PLAN,Formal,,"ESA-S7, Formal",,"Mar 27, 1979 12:00:00 AM",,,1980-05-08,,,,,,"Turtle, loggerhead sea",Range-wide,,,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,GULF OF MEXICO,,,SER,,,,,K Hollingshead
26,800007,COASTAL MIGRATORY PELAGIC RESOURCES FMP,Formal,,"ESA-S7, Formal",,,,,1980-05-08,,,,,,"Turtle, loggerhead sea",Range-wide,,,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,GULF OF MEXICO,,,SER,,,,,K Hollingshead
27,800008,"OCS OILS & GAS LEASE SALES 46, 55, 60",Formal,,"ESA-S7, Formal",,"Jan 24, 1980 12:00:00 AM",,,1980-05-23,,,,,,"Whale, sperm",Range-wide,,,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,GULF OF ALASKA,,,AKR,,,,,C Karnella
28,800009,OCS OIL & GAS LEASE SALE,Formal,Completed,"ESA-S7, Formal",,"Feb 11, 1980 12:00:00 AM",,,1980-06-24,,,,,,"Whale, gray",Eastern North Pacific,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,BEAUFORT SEA,,,AKR,,,,,C Karnella
29,800010,DESIGNATION OF A MARINE SANCTUARY,Formal,,"ESA-S7, Formal",,"Apr 11, 1980 12:00:00 AM",,,1980-07-11,,,,,,"Turtle, loggerhead sea",Range-wide,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,"POINT REYES, FARALLON ISLANDS, CA",,,FPR,"Silver Spring, MD",,,,"Karnella, Charles"
30,800011,LEASE SALE 56,Formal,,"ESA-S7, Formal",,,,,1980-07-14,,,,,,"Sturgeon, shortnose",Range-wide,,,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,U.S. SOUTH ATLANTIC REGION,,,SER,,,,,C Karnella
31,800012,BERING/CHUKCHGI SEA HERRING FMP,Formal,,"ESA-S7, Formal",,,,,1980-09-04,,,,,,"Whale, sperm",Range-wide,,,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,BERING/CHUKCHI SEAS,,,AKR,,,,,T Loughlin
32,800014,Construct Drilling Pads/ Conduct Drilling Operations,Formal,Completed,"ESA-S7, Formal",,"Aug 14, 1980 12:00:00 AM",1980-08-14,1980-12-26,1980-10-07,,,,,,,,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,BEAUFORT SEA,,,AKR,,,,,C Karnella
33,810001,DESIGNATION OF GRAY'S REEF MARINE SANCTUARY,Formal,Completed,"ESA-S7, Formal",,"Apr 25, 1980 12:00:00 AM",,,1981-01-13,,,,,,"Whale, sperm",Range-wide,,,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,"GRAY'S REEF, GEORGIA",,,SER,,,,,C Karnella
34,810004,DESIGNATION OF LOOE KEY MARINE SANCTUARY,Formal,Completed,"ESA-S7, Formal",,"Apr 11, 1980 12:00:00 AM",,,1981-03-24,,,,,,"Turtle, loggerhead sea",Range-wide,,,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,"LOOE KEY, FLORIDA",,,SER,,,,,C Karnella
35,810005,Issuance of Research Permit 254 to Photograph & Record Humback Whales,Formal,Completed,"ESA-S7, Formal",,,,,1981-04-03,,,,,,"Whale, humpback",Range-wide,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,,,,FPR,"Silver Spring, MD",,,,"Karnella, Charles"
36,810006,OCS OIL & GAS EXPLORATION,Formal,,"ESA-S7, Formal",,,,,1981-04-08,,,,,,"Whale, sperm",Range-wide,,,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,MID-ATLANTIC REGION,,,NER,,,,,C Karnella
37,810007,Issuance of Research Permit #263 to Study Humpback Whales,Formal,Completed,"ESA-S7, Formal",,,,,1981-04-13,,,,,,"Whale, humpback",Range-wide,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,"Seymour Canal, Admiral Island",,,FPR,"Silver Spring, MD",,,,"Karnella, Charles"
38,810008,Issuance of Research Permit on Hawaiian Monk Seals,Formal,Completed,"ESA-S7, Formal",,,,,1981-04-16,,,,,,"Seal, Hawaiian monk",Hawaiian Islands,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,"Kure Atoll, Northwest Hawaiian Islands",,,FPR,"Silver Spring, MD",,,,"Karnella, Charles"
39,810009,CONTINENTAL OFFSHORE STATIGRAPHIC TEST WELLS,Formal,,"ESA-S7, Formal",,"Feb 2, 1981 12:00:00 AM",,,1981-04-28,,,,,,"Whale, sei",Range-wide,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,BERING SEA,,,FPR,"Silver Spring, MD",,,,"Karnella, Charles"
40,810011,POLLUTANT DISCHARGE PERMIT FOR LEASE SALE 42,Formal,,"ESA-S7, Formal",,,,,1981-05-28,,,,,,"Turtle, green sea",Range-wide,,,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,NORTH ATLANTIC REGION,,,NER,,,,,C Karnella
41,810012,Issuance of Research Permit #273 on Bowhead Whales,Formal,Completed,"ESA-S7, Formal",,,,,1981-06-01,,,,,,"Whale, bowhead",Western Arctic Stock,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,Beaufort Sea,,,FPR,"Silver Spring, MD",,,,"Karnella, Charles"
42,810013,Issuance of Research Permit on Shornose Sturgeon,Formal,Completed,"ESA-S7, Formal",,"Jun 3, 1981 12:00:00 AM",,,1981-06-03,,,,,,"Sturgeon, shortnose",Range-wide,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,,,,FPR,"Silver Spring, MD",,,,"Karnella, Charles"
43,810014,ATLANTIC FLEET WEAPONS TRAINING FACILITY,Formal,,"ESA-S7, Formal",,"Jun 24, 1980 12:00:00 AM",,,1981-06-15,,,,,,"Whale, sei",Range-wide,,,"Jeopardy, No Adverse Mod",,"Jeopardy, No Adverse Mod",,,,,,,,,"VIEQUES, PUERTO RICO",,,SER,,,,,C Karnella
44,810016,GEOPHYSICAL RESEARCH,Formal,,"ESA-S7, Formal",,,,,1981-06-23,,,,,,"Whale, sperm",Range-wide,,,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,NEW JERSEY WATERS,,,NER,,,,,C Karnella
45,810017,SEISMIC ACTIVITIES,Formal,,"ESA-S7, Formal",,"Apr 7, 1981 12:00:00 AM",,,1981-07-30,,,,,,"Whale, bowhead",Western Arctic Stock,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,BEAUFORT SEA,,,FPR,"Silver Spring, MD",,,,"Karnella, Charles"
46,810018,EXPLORATORY DRILLING ACTIVITIES/LEASE SALE 42,Formal,,"ESA-S7, Formal",,"Mar 24, 1981 12:00:00 AM",,,1981-09-01,,,,,,"Sturgeon, shortnose",Range-wide,,,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,NORTH ATLANTIC,,,NER,,,,,C Karnella
47,810019,NEW YORK ESTUARUINE SANCTUARY PROGRAM,Formal,,"ESA-S7, Formal",,,,,1981-09-15,,,,,,"Sturgeon, shortnose",Range-wide,,,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,"HUDSON RIVER, NY",,,NER,,,,,P Carter
48,810020,ATLANTIC FLEET WEAPONS TRAINING FACILITY,Formal,,"ESA-S7, Formal",,"Jul 27, 1981 12:00:00 AM",,,1981-12-18,,,,,,"Whale, sperm",Range-wide,,,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,"VIEQUES, PUERTO RICO",,,SER,,,,,C Karnella
49,810021,Issuance of a Research Permit to Observe & Photograph Humpback Whales in Prince William Sound,Formal,Completed,"ESA-S7, Formal",,,,,1981-12-24,,,,,,"Whale, humpback",Range-wide,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,Prince William Sound,,,FPR,"Silver Spring, MD",,,,"Carter, P."
50,810022,Issuance of Research Permit on Hawaiian Monk Seals,Formal,Completed,"ESA-S7, Formal",,,,,1981-12-29,,,,,,"Seal, Hawaiian monk",Hawaiian Islands,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,Kure Atoll,,,FPR,"Silver Spring, MD",,,,"Karnella, Charles"
51,820001,MANTEO (SHALLOWBAG) BAY PROJECT,Formal,,"ESA-S7, Formal",,,,,1982-01-15,,,,,,"Whale, right, North Atlantic",Western Atlantic Stock,,,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,"MANTEO BAY, NORTH CAROLINA",,,SER,,,,,P Carter
52,820002,OCS OIL & GAS LEASING,Formal,Completed,"ESA-S7, Formal",,"Jan 22, 1982 12:00:00 AM",,,1982-01-22,,,,,,"Whale, sperm",Range-wide,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,BERING SEA,,,AKR,,,,,C Karnella
53,820003,CONSTRUCTION/EXPLORATORY DRILLING,Formal,,"ESA-S7, Formal",,,,,1982-02-01,,,,,,"Whale, bowhead",Western Arctic Stock,,,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,BEAUFORT SEA,,,AKR,,,,,C Karnella
54,820006,Issuance of Research Permit on Hawaiian Monk Seals,Formal,Completed,"ESA-S7, Formal",,,,,1982-03-18,,,,,,"Seal, Hawaiian monk",Hawaiian Islands,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,Northwest Hawaiian Islands,,,FPR,"Silver Spring, MD",,,,"Karnella Charles, & Carter, P."
55,820007,Issuance of Research Permit #291 tp Evaluate Plant Operations,Formal,Completed,"ESA-S7, Formal",,,,,1982-03-29,,,,,,"Sturgeon, shortnose",Range-wide,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,Hudson River,,,FPR,"Silver Spring, MD",,,,"Carter, P."
56,820008,OCS OIL & GAS LEASING,Formal,Completed,"ESA-S7, Formal",,"Apr 1, 1982 12:00:00 AM",,,1982-04-01,,,,,,"Whale, gray",Eastern North Pacific,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,ARCTIC REGION,,,AKR,,,,,C Karnella
57,820009,OCS OIL & GAS LEASING,Formal,Completed,"ESA-S7, Formal",,"Apr 1, 1982 12:00:00 AM",,,1982-04-01,,,,,,"Whale, bowhead",Western Arctic Stock,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,BEAUFORT SEA,,,AKR,,,,,C Karnella
58,820010,Issuance of a Research Permit # 302 for Photo-Identification & Research on Humpback Whales,Formal,Completed,"ESA-S7, Formal",,,,,1982-04-14,,,,,,"Whale, humpback",Range-wide,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,Southeast Alaskan Waters /Frederick Sound,,,FPR,"Silver Spring, MD",,,,"Carter, P."
59,820012,LEASE SALE 71,Formal,Completed,"ESA-S7, Formal",,"May 19, 1982 12:00:00 AM",,,1982-05-19,,,,,,"Whale, gray",Eastern North Pacific,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,"DISPAIR FIELD, BEAUFORT SEA",,,AKR,,,,,C Karnella
60,820013,Issuance of Research Permit #273A to Observe Gray Whales,Formal,Completed,"ESA-S7, Formal",,,,,1982-05-28,,,,,,"Whale, gray",Eastern North Pacific,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,St. Lawrence Island,,,FPR,"Silver Spring, MD",,,,"Carter, P."
61,820015,Issuance of a Research Permit #305 on Whale Habitat Use,Formal,Completed,"ESA-S7, Formal",,,,,1982-06-14,,,,,,"Whale, bowhead",Western Arctic Stock,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,"Navarin Basin, Bering Sea",,,FPR,"Silver Spring, MD",,,,"Carter, P."
62,820016,CAROLINA REFINING/DISTRIBUTION COMPANY PLANT,Formal,,"ESA-S7, Formal",,,,,1982-07-08,,,,,,"Whale, sperm",Range-wide,,,"Jeopardy, No Adverse Mod",,"Jeopardy, No Adverse Mod",,,,,,,,,"GEORGETOWN, SOUTH CAROLINA",,,SER,,,,,P Carter
63,820017,POINT PLEASANT PUMPING STATION,Formal,,"ESA-S7, Formal",,,,,1982-07-19,,,,,,"Sturgeon, shortnose",Range-wide,,,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,"DELAWARE RIVER, POINT PLEASANT, PENNSYLVANIA",,,NER,,,,,P Carter
64,820018,issuance of Research Permit # 307 for Propogation Research on Shortnose Sturgeon,Formal,Completed,"ESA-S7, Formal",,,,,1982-08-03,,,,,,"Sturgeon, shortnose",Range-wide,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,South Carolina Rivers,,,FPR,"Silver Spring, MD",,,,"Carter, P."
65,820019,Issuance of Research Permit #277A to Study Humback Whales,Formal,Completed,"ESA-S7, Formal",,,,,1982-08-09,,,,,,"Whale, humpback",Western North Atlantic Stock,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,Eastern Coast of the U.S.,,,FPR,"Silver Spring, MD",,,,"Carter, P."
66,820020,Issuance of a Research Permit #308 for Acoustic Research on Gray Whales,Formal,Completed,"ESA-S7, Formal",,,,,1982-08-13,,,,,,"Whale, gray",Eastern North Pacific,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,West Coast of North America,,,FPR,"Silver Spring, MD",,,,"Carter, P."
67,820021,MAINTENANCE DREDGE BOSTON HARBOR,Formal,,"ESA-S7, Formal",,,,,1982-10-06,,,,,,"Turtle, Kemp's ridley sea",Range-wide,,,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,"BOSTON, MASSACHUSETTS",,,NER,,,,,P Carter
68,820023,Issuance of a Research Permit #254A to Observe & Photograph Humback Whales,Formal,Completed,"ESA-S7, Formal",,,,,1982-12-02,,,,,,"Whale, humpback",Range-wide,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,Hawaiian Islands,,,FPR,"Silver Spring, MD",,,,"Carter, P."
69,820024,Issuance on a Research Permit # 309 (PRT2-9757) - Test Sonar for Species Monitoring,Formal,Completed,"ESA-S7, Formal",,,,,1982-12-20,,,,,,,,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,Rest Central Florida Waters,,,FPR,"Silver Spring, MD",,,,"Carter, P."
70,820025,Issuance of a Research Permit # 129B - Tagging of Gray Whales,Formal,Completed,"ESA-S7, Formal",,,,,1982-12-23,,,,,,"Whale, gray",Eastern North Pacific,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,San Diego - Bering Sea,,,FPR,"Silver Spring, MD",,,,"Carter, P."
71,830001,LEASE SALE 57,Formal,,"ESA-S7, Formal",,,,,1983-01-20,,,,,,"Whale, right, North Pacific",Eastern North Pacific Stock,,,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,"NORTON BASIN, BERING SEA",,,AKR,,,,,C Karnella
72,830002,BUILD/OPERATE BOAT HARBOR,Formal,,"ESA-S7, Formal",,,,,1983-02-15,,,,,,"Whale, humpback",Range-wide,,,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,"LATOUCHE/EVANS ISLANDS, PRINCE WILLIAM SOUND",,,AKR,,,,,P Carter
73,830003,LEASE SALE 70,Formal,,"ESA-S7, Formal",,,,,1983-03-09,,,,,,"Whale, blue",Range-wide,,,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,"ST. GEORGE BASIN, BERING SEA",,,AKR,,,,,P Carter
74,830004,Issuance of a Research Permit #317 - Biopsy & Tag Humpback & Fin Whales,Formal,Completed,"ESA-S7, Formal",,,,,1983-03-31,,,,,,"Whale, humpback",Western North Atlantic Stock,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,Stellwagen Gank /Jeffery's Ledge Area,,,FPR,"Silver Spring, MD",,,,"Carter, P."
75,830005,Issuance of Research Permit on Hawaiian Monk Seals (P77#7),Formal,Completed,"ESA-S7, Formal",,,,,1983-04-19,,,,,,"Seal, Hawaiian monk",Hawaiian Islands,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,Northwestern Hawaiian Islands,,,FPR,"Silver Spring, MD",,,,"Carter, P."
