,NMFS.Tracking.Number,Common.Name,Population.Name,Species Determination,Critical Habitat Determination,NEW Jeopardy,NEW Critical Habitat,,,,
712,FPR-2000-1031,"Turtle, leatherback sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
713,FPR-2000-1031,"Whale, humpback",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
714,FPR-2000-1075,"Whale, North Atlantic right",Western Atlantic Stock,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
715,FPR-2000-1075,"Whale, sperm",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
716,FPR-2000-1075,"Whale, sei",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
717,FPR-2000-1075,"Whale, humpback",Western North Atlantic Stock,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
718,FPR-2000-1075,"Whale, fin",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
719,FPR-2000-1075,"Whale, blue",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
726,FPR-2000-1079,"Whale, humpback",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
727,FPR-2000-1079,"Whale, fin",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
728,FPR-2000-1079,"Whale, sperm",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
744,FPR-2000-1101,"Sturgeon, shortnose",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
746,FPR-2000-1237,"Turtle, loggerhead sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
747,FPR-2000-1237,"Turtle, leatherback sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
748,FPR-2000-1237,"Turtle, hawksbill sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
749,FPR-2000-1237,"Turtle, green sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
750,FPR-2000-1237,"Turtle, Kemp's ridley sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
751,FPR-2000-1237,"Turtle, olive ridley sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
752,FPR-2000-1242,"Turtle, loggerhead sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
753,FPR-2000-1242,"Turtle, leatherback sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
754,FPR-2000-1242,"Turtle, hawksbill sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
755,FPR-2000-1242,"Turtle, green sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
756,FPR-2000-1242,"Turtle, green sea",Florida Breeding Populations,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
757,FPR-2000-1242,"Turtle, Kemp's ridley sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
758,FPR-2000-1242,"Turtle, olive ridley sea",Mexican Breeding Population,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
759,FPR-2000-1242,"Turtle, olive ridley sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
760,FPR-2000-1243,"Sturgeon, shortnose",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
761,FPR-2000-1244,"Turtle, green sea",Florida Breeding Populations,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
762,FPR-2000-1244,"Turtle, green sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
763,FPR-2000-1244,"Turtle, leatherback sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
764,FPR-2000-1244,"Turtle, Kemp's ridley sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
765,FPR-2000-1244,"Turtle, loggerhead sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
766,FPR-2000-1245,"Turtle, Kemp's ridley sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
767,FPR-2000-1245,"Turtle, green sea",Florida Breeding Populations,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
768,FPR-2000-1245,"Turtle, green sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
769,FPR-2000-1245,"Turtle, leatherback sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
770,FPR-2000-1245,"Turtle, loggerhead sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
771,FPR-2000-1246,"Sturgeon, shortnose",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
772,FPR-2000-1247,"Sea lion, Steller",Eastern US DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
773,FPR-2000-1247,"Turtle, leatherback sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
774,FPR-2000-1247,"Turtle, loggerhead sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
775,FPR-2000-1247,"Turtle, olive ridley sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
776,FPR-2000-1247,"Whale, fin",California/Oregon/Washington Stock,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
777,FPR-2000-1247,"Whale, humpback",Eastern North Pacific Stock,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
778,FPR-2000-1247,"Whale, sperm",California/Oregon/Washington Stock,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
779,FPR-2000-1300,"Whale, sei",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
780,FPR-2000-1300,"Whale, North Atlantic right",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
781,FPR-2000-1300,"Whale, humpback",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
782,FPR-2000-1300,"Whale, fin",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
783,FPR-2000-1300,"Whale, blue",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
784,FPR-2000-1300,"Whale, sperm",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
785,FPR-2000-1303,"Whale, blue",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
786,FPR-2000-1303,"Whale, fin",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
787,FPR-2000-1303,"Whale, humpback",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
788,FPR-2000-1303,"Whale, North Atlantic right",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
789,FPR-2000-1303,"Whale, sei",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
790,FPR-2000-1303,"Whale, sperm",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
791,FPR-2000-1316,"Turtle, loggerhead sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
792,FPR-2000-1316,"Turtle, leatherback sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
793,FPR-2000-1316,"Turtle, hawksbill sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
794,FPR-2000-1316,"Turtle, green sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
795,FPR-2000-1316,"Turtle, green sea",Mexican Breeding Population,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
796,FPR-2000-1316,"Turtle, olive ridley sea",Mexican Breeding Population,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
797,FPR-2000-1316,"Turtle, olive ridley sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
798,FPR-2000-1332,"Turtle, loggerhead sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
799,FPR-2000-1332,"Turtle, leatherback sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
800,FPR-2000-1332,"Turtle, green sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
801,FPR-2000-1332,"Turtle, green sea",Florida Breeding Populations,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
802,FPR-2000-1332,"Turtle, Kemp's ridley sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
811,FPR-2000-1398,"Sturgeon, shortnose",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
812,FPR-2000-1399,"Sturgeon, shortnose",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
813,FPR-2000-1446,"Sturgeon, shortnose",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
835,FPR-2000-622,"Turtle, Kemp's ridley sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
836,FPR-2000-622,"Turtle, green sea",Florida Breeding Populations,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
837,FPR-2000-622,"Turtle, loggerhead sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
838,FPR-2000-622,"Turtle, leatherback sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
839,FPR-2000-622,"Turtle, hawksbill sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
841,FPR-2000-854,"Sturgeon, shortnose",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
842,FPR-2000-873,"Turtle, loggerhead sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
843,FPR-2000-873,"Turtle, green sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
844,FPR-2000-873,"Turtle, hawksbill sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
845,FPR-2000-873,"Turtle, Kemp's ridley sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
846,FPR-2000-873,"Turtle, green sea",Florida Breeding Populations,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
847,FPR-2000-910,"Sturgeon, shortnose",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
848,FPR-2000-933,"Turtle, Kemp's ridley sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
849,FPR-2000-933,"Turtle, green sea",Florida Breeding Populations,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
850,FPR-2000-933,"Turtle, loggerhead sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
851,FPR-2000-941,"Whale, sperm",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
852,FPR-2001-1081,"Turtle, Kemp's ridley sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
853,FPR-2001-1081,"Turtle, green sea",Florida Breeding Populations,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
854,FPR-2001-1081,"Turtle, hawksbill sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
855,FPR-2001-1081,"Turtle, leatherback sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
856,FPR-2001-1081,"Turtle, loggerhead sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
857,FPR-2001-1236,"Salmon, Atlantic",Gulf of Maine DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
858,FPR-2001-1236,"Sturgeon, shortnose",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
859,FPR-2001-1248,"Sturgeon, shortnose",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
861,FPR-2001-1261,"Sturgeon, shortnose",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
862,FPR-2001-14,"Turtle, green sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
863,FPR-2001-14,"Turtle, loggerhead sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
864,FPR-2001-14,"Turtle, green sea",Florida Breeding Populations,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
865,FPR-2001-14,"Turtle, Kemp's ridley sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
866,FPR-2001-1464,"Sawfish, smalltooth",U.S. DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
867,FPR-2001-1464,"Turtle, loggerhead sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
868,FPR-2001-1464,"Turtle, green sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
869,FPR-2001-1464,"Turtle, hawksbill sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
870,FPR-2001-1464,"Turtle, Kemp's ridley sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
871,FPR-2001-193,"Sturgeon, shortnose",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
873,FPR-2001-195,"Sturgeon, shortnose",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
874,FPR-2001-196,"Sturgeon, shortnose",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
875,FPR-2001-316,"Turtle, olive ridley sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
876,FPR-2001-316,"Turtle, loggerhead sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
877,FPR-2001-316,"Turtle, olive ridley sea",Mexican Breeding Population,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
878,FPR-2001-316,"Turtle, green sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
879,FPR-2001-316,"Turtle, green sea",Mexican Breeding Population,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
880,FPR-2001-317,"Turtle, Kemp's ridley sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
881,FPR-2001-317,"Turtle, green sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
882,FPR-2001-317,"Turtle, hawksbill sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
883,FPR-2001-317,"Turtle, leatherback sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
884,FPR-2001-317,"Turtle, loggerhead sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
885,FPR-2001-318,"Turtle, green sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
886,FPR-2001-318,"Turtle, leatherback sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
887,FPR-2001-318,"Turtle, olive ridley sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
888,FPR-2001-318,"Turtle, loggerhead sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
889,FPR-2001-319,"Sturgeon, shortnose",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
890,FPR-2001-320,"Turtle, Kemp's ridley sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
891,FPR-2001-320,"Turtle, green sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
892,FPR-2001-320,"Turtle, loggerhead sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
893,FPR-2001-484,"Whale, sperm",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
894,FPR-2001-509,"Turtle, leatherback sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
895,FPR-2001-511,"Turtle, green sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
896,FPR-2001-511,"Turtle, green sea",Florida Breeding Populations,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
897,FPR-2001-511,"Turtle, hawksbill sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
898,FPR-2001-511,"Turtle, leatherback sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
899,FPR-2001-511,"Turtle, olive ridley sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
900,FPR-2001-545,"Turtle, leatherback sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
901,FPR-2001-545,"Turtle, loggerhead sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
902,FPR-2001-545,"Whale, blue",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
903,FPR-2001-545,"Whale, bowhead",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
904,FPR-2001-545,"Whale, fin",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
905,FPR-2001-545,"Whale, humpback",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
906,FPR-2001-545,"Whale, North Atlantic right",Western Atlantic Stock,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
907,FPR-2001-661,"Turtle, green sea",Florida Breeding Populations,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
908,FPR-2001-661,"Turtle, Kemp's ridley sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
909,FPR-2001-661,"Turtle, loggerhead sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
910,FPR-2001-661,"Turtle, leatherback sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
911,FPR-2001-661,"Turtle, green sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
912,FPR-2001-661,"Turtle, hawksbill sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
913,FPR-2001-677,"Salmon, Atlantic",Gulf of Maine DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
