,NMFS.Tracking.Number,tracking,start,end,start,end,BiOp?,
26,SER-2012-9229,SER-2012-9229,11/29/2012,11/5/2012,11/29/2011,11/5/2012,Missing,
27,SER-2013-10304,SER-2013-10304,8/21/2013,8/21/2012,8/21/2012,8/21/2013,Missing,
28,SER-2013-10763,SER-2013-10763,3/27/2013,3/19/2013,3/19/2013,3/27/2013,Missing,
29,SER-2013-10765,SER-2013-10765,3/27/2013,3/4/2013,3/4/2013,3/27/2013,Missing,
30,SER-2013-11637,SER-2013-11637,7/24/2013,7/1/2013,7/1/2013,7/24/2013,Missing,
31,SER-2013-11942,SER-2013-11942,8/24/2013,8/12/2013,8/12/2013,8/24/2013,Missing,
32,SER-2013-12401,SER-2013-12401,12/16/2013,11/18/2013,12/16/2013,6/10/2014,,
33,SER-2013-12618,SER-2013-12618,12/26/2014,8/19/2014,12/26/2013,8/19/2014,Missing,
34,SER-2014-14689,SER-2014-14689,11/12/2014,10/9/2014,11/12/2013,10/9/2014,Missing,
35,SER-2014-14862,SER-2014-14862,9/26/2014,9/18/2014,9/18/2014,9/26/2014,Missing,
36,SER-2015-15997,SER-2015-15997,12/29/2015,9/9/2015,9/9/2015,12/29/2015,Missing,
37,SER-2015-16301,SER-2015-16301,2/24/2015,2/23/2015,2/23/2015,2/24/2015,Missing,
38,SER-2016-17924,SER-2016-17924,7/20/2016,6/24/2016,6/24/2016,7/20/2016,Missing,
39,SER-2016-18143,SER-2016-18143,8/29/2017,2/17/2017,8/29/2016,2/17/2017,Missing,
40,SWR-2002-1777,SWR-2002-1777,4/16/2002,3/20/2002,3/20/2002,4/16/2002,Missing,
41,SWR-2011-5942,SWR-2011-5942,12/15/2011,1/7/2011,12/15/2010,1/7/2011,Missing,
42,SWR-2011-5944,SWR-2011-5944,12/15/2011,1/7/2011,12/15/2010,1/7/2011,Missing,
43,SWR-2012-2748,SWR-2012-2748,7/17/2012,6/29/2012,6/29/2012,7/17/2012,Missing,
44,SWR-2012-3550,SWR-2012-3550,12/1/2014,1/10/2013,11/16/2012,1/10/2013,,
45,SWR-2012-9332,SWR-2012-9332,11/17/2012,11/16/2012,11/16/2012,11/17/2012,Missing,
46,SWR-2013-9541,SWR-2013-9541,11/12/2013,10/22/2013,11/12/2013,10/22/2014,,
47,SWR-2013-9612,SWR-2013-9612,4/19/2013,3/20/2013,4/19/2013,5/20/2013,Missing,Response Date
48,SWR-2013-9822,SWR-2013-9822,6/11/2014,12/2/2013,6/11/2013,12/2/2013,Missing,
49,WCR-2013-106,WCR-2013-106,12/3/2014,4/9/2014,12/3/2013,4/9/2014,,
50,WCR-2014-397,WCR-2014-397,2/12/2015,4/24/2014,2/12/2014,4/24/2014,,
51,WCR-2014-493,WCR-2014-493,4/4/2014,3/11/2014,3/11/2014,4/4/2014,Missing,
52,WCR-2015-1902,WCR-2015-1902,12/29/2015,1/22/2015,12/29/2014,1/22/2015,,
53,WCR-2016-4794,WCR-2016-4794,5/23/2017,3/30/2017,5/23/2016,3/30/2017,,
54,WCR-2016-5335,WCR-2016-5335,3/21/2017,2/21/2016,2/21/2016,3/21/2016,,
