TrackingNumber,Common.Name,Population.Name,NMFSJeopardy,NMFSCriticalHabitat,AdMod,Jeopardy,CH_cons,Spp_cons,BiOp,RPA,WorkType,Comments,Population,ProposedSP,ProposedCH
FPR-2002-1905,"Salmon, Chinook",Upper Columbia River spring-run ESU,,,Adverse Modification,Jeopardy,Adverse Modification,Jeopardy,Y,Y,Agriculture - Pesticide,For diazinon (round 1),,Likely to Adversely Affect,Likely to Adversely Affect
FPR-2002-1905,"Salmon, chum",Columbia River ESU,,,Adverse Modification,Jeopardy,Adverse Modification,Jeopardy,Y,Y,Agriculture - Pesticide,For diazinon (round 1),,Likely to Adversely Affect,Likely to Adversely Affect
FPR-2002-1905,"Salmon, chum",Hood Canal summer-run ESU,,,Adverse Modification,Jeopardy,Adverse Modification,Jeopardy,Y,Y,Agriculture - Pesticide,For diazinon (round 1),,Not Likely to Adversely Affect,Not Likely to Adversely Affect
FPR-2002-1905,"Salmon, coho",Southern Oregon/Northern California Coast ESU,,,Adverse Modification,Jeopardy,Adverse Modification,Jeopardy,Y,Y,Agriculture - Pesticide,For diazinon (round 1),,Likely to Adversely Affect,Likely to Adversely Affect
FPR-2002-1905,"Salmon, coho",Lower Columbia River ESU,,,No CH,Jeopardy,No CH,Jeopardy,Y,Y,Agriculture - Pesticide,For diazinon (round 1),,Likely to Adversely Affect,NA
FPR-2002-1905,"Salmon, coho",Central California Coast ESU,,,Adverse Modification,Jeopardy,Adverse Modification,Jeopardy,Y,Y,Agriculture - Pesticide,For diazinon (round 1),,Likely to Adversely Affect,Likely to Adversely Affect
FPR-2002-1905,"Salmon, coho",Oregon Coast ESU,,,Adverse Modification,Jeopardy,Adverse Modification,Jeopardy,Y,Y,Agriculture - Pesticide,For diazinon (round 1),,Likely to Adversely Affect,Likely to Adversely Affect
FPR-2002-1905,"Salmon, sockeye",Snake River ESU,,,Adverse Modification,Jeopardy,Adverse Modification,Jeopardy,Y,Y,Agriculture - Pesticide,For diazinon (round 1),,Likely to Adversely Affect,Likely to Adversely Affect
FPR-2002-1905,"Salmon, sockeye",Ozette Lake ESU,,,,,,,Y,Y,Agriculture - Pesticide,,,Not Likely to Adversely Affect,Not Likely to Adversely Affect
FPR-2002-1905,Steelhead,California Central Valley DPS,,,Adverse Modification,Jeopardy,Adverse Modification,Jeopardy,Y,Y,Agriculture - Pesticide,For diazinon (round 1),,Likely to Adversely Affect,Likely to Adversely Affect
FPR-2002-1905,Steelhead,Central California Coast DPS,,,Adverse Modification,Jeopardy,Adverse Modification,Jeopardy,Y,Y,Agriculture - Pesticide,For diazinon (round 1),,Likely to Adversely Affect,Likely to Adversely Affect
FPR-2002-1905,Steelhead,Lower Columbia River DPS,,,Adverse Modification,Jeopardy,Adverse Modification,Jeopardy,Y,Y,Agriculture - Pesticide,For diazinon (round 1),,Likely to Adversely Affect,Likely to Adversely Affect
FPR-2002-1905,Steelhead,Middle Columbia River DPS,,,Adverse Modification,Jeopardy,Adverse Modification,Jeopardy,Y,Y,Agriculture - Pesticide,For diazinon (round 1),,Likely to Adversely Affect,Likely to Adversely Affect
FPR-2002-1905,Steelhead,Puget Sound DPS,,,No CH,Jeopardy,No CH,Jeopardy,Y,Y,Agriculture - Pesticide,For diazinon (round 1),,Likely to Adversely Affect,NA
FPR-2002-1905,Steelhead,Snake River Basin DPS,,,Adverse Modification,Jeopardy,Adverse Modification,Jeopardy,Y,Y,Agriculture - Pesticide,For diazinon (round 1),,Likely to Adversely Affect,Likely to Adversely Affect
FPR-2002-1905,Steelhead,Southern California DPS,,,Adverse Modification,Jeopardy,Adverse Modification,Jeopardy,Y,Y,Agriculture - Pesticide,For diazinon (round 1),,Likely to Adversely Affect,Likely to Adversely Affect
FPR-2002-1905,Steelhead,Upper Columbia River DPS,,,Adverse Modification,Jeopardy,Adverse Modification,Jeopardy,Y,Y,Agriculture - Pesticide,For diazinon (round 1),,Likely to Adversely Affect,Likely to Adversely Affect
FPR-2002-1905,Steelhead,Upper Willamette River DPS,,,Adverse Modification,Jeopardy,Adverse Modification,Jeopardy,Y,Y,Agriculture - Pesticide,For diazinon (round 1),,Likely to Adversely Affect,Likely to Adversely Affect
FPR-2002-1905,Steelhead,Northern California DPS,,,Adverse Modification,Jeopardy,Adverse Modification,Jeopardy,Y,Y,Agriculture - Pesticide,For diazinon (round 1),,Likely to Adversely Affect,Likely to Adversely Affect
FPR-2002-1905,Steelhead,South Central California Coast DPS,,,Adverse Modification,Jeopardy,Adverse Modification,Jeopardy,Y,Y,Agriculture - Pesticide,For diazinon (round 1),South Central California Coast DPS,Likely to Adversely Affect,Likely to Adversely Affect
FPR-2002-1906,Steelhead,Middle Columbia River DPS,Jeopardy & Adverse Modification,,Adverse Modification,Jeopardy,Adverse Modification,Jeopardy,Y,Y,Agriculture - Pesticide,For fenbutatin oxide,,,
FPR-2002-1906,Steelhead,Puget Sound DPS,Jeopardy & Adverse Modification,,Adverse Modification,Jeopardy,Adverse Modification,Jeopardy,Y,Y,Agriculture - Pesticide,For fenbutatin oxide,,,
FPR-2002-1906,Steelhead,Snake River Basin DPS,Jeopardy & Adverse Modification,,Adverse Modification,Jeopardy,Adverse Modification,Jeopardy,Y,Y,Agriculture - Pesticide,For fenbutatin oxide,,,
FPR-2002-1906,Steelhead,Central California Coast DPS,Jeopardy & Adverse Modification,,Adverse Modification,Jeopardy,Adverse Modification,Jeopardy,Y,Y,Agriculture - Pesticide,For fenbutatin oxide,,,
FPR-2002-1906,Steelhead,Southern California DPS,Jeopardy & Adverse Modification,,Adverse Modification,Jeopardy,Adverse Modification,Jeopardy,Y,Y,Agriculture - Pesticide,For fenbutatin oxide,,,
FPR-2002-1906,Steelhead,Upper Columbia River DPS,Jeopardy & Adverse Modification,,Adverse Modification,Jeopardy,Adverse Modification,Jeopardy,Y,Y,Agriculture - Pesticide,For fenbutatin oxide,,,
FPR-2002-1906,Steelhead,Upper Willamette River DPS,Jeopardy & Adverse Modification,,Adverse Modification,Jeopardy,Adverse Modification,Jeopardy,Y,Y,Agriculture - Pesticide,For fenbutatin oxide,,,
FPR-2002-1906,"Salmon, Chinook",California Coastal ESU,Jeopardy & Adverse Modification,,Adverse Modification,Jeopardy,Adverse Modification,Jeopardy,Y,Y,Agriculture - Pesticide,For fenbutatin oxide,,,
FPR-2002-1906,"Salmon, Chinook",Central Valley spring-run ESU,Jeopardy & Adverse Modification,,Adverse Modification,Jeopardy,Adverse Modification,Jeopardy,Y,Y,Agriculture - Pesticide,For fenbutatin oxide,,,
FPR-2002-1906,"Salmon, Chinook",Lower Columbia River ESU,Jeopardy & Adverse Modification,,Adverse Modification,Jeopardy,Adverse Modification,Jeopardy,Y,Y,Agriculture - Pesticide,For fenbutatin oxide,,,
FPR-2002-1906,"Salmon, Chinook",Puget Sound ESU,Jeopardy & Adverse Modification,,Adverse Modification,Jeopardy,Adverse Modification,Jeopardy,Y,Y,Agriculture - Pesticide,For fenbutatin oxide,,,
FPR-2002-1906,"Salmon, Chinook",Sacramento River winter-run ESU,Jeopardy & Adverse Modification,,Adverse Modification,Jeopardy,Adverse Modification,Jeopardy,Y,Y,Agriculture - Pesticide,For fenbutatin oxide,,,
FPR-2002-1906,"Salmon, Chinook",Snake River spring/summer-run ESU,Jeopardy & Adverse Modification,,Adverse Modification,Jeopardy,Adverse Modification,Jeopardy,Y,Y,Agriculture - Pesticide,For fenbutatin oxide,,,
FPR-2002-1906,"Salmon, Chinook",Upper Columbia River spring-run ESU,Jeopardy & Adverse Modification,,Adverse Modification,Jeopardy,Adverse Modification,Jeopardy,Y,Y,Agriculture - Pesticide,For fenbutatin oxide,,,
FPR-2002-1906,"Salmon, Chinook",Upper Willamette River ESU,Jeopardy & Adverse Modification,,Adverse Modification,Jeopardy,Adverse Modification,Jeopardy,Y,Y,Agriculture - Pesticide,For fenbutatin oxide,,,
FPR-2002-1906,"Salmon, coho",Central California Coast ESU,Jeopardy & Adverse Modification,,Adverse Modification,Jeopardy,Adverse Modification,Jeopardy,Y,Y,Agriculture - Pesticide,For fenbutatin oxide,,,
FPR-2002-1906,"Salmon, coho",Lower Columbia River ESU,Jeopardy & Adverse Modification,,Adverse Modification,Jeopardy,Adverse Modification,Jeopardy,Y,Y,Agriculture - Pesticide,For fenbutatin oxide,,,
FPR-2002-1906,"Salmon, coho",Southern Oregon/Northern California Coast ESU,Jeopardy & Adverse Modification,,Adverse Modification,Jeopardy,Adverse Modification,Jeopardy,Y,Y,Agriculture - Pesticide,For fenbutatin oxide,,,
FPR-2002-1906,Steelhead,California Central Valley DPS,Jeopardy & Adverse Modification,,Adverse Modification,Jeopardy,Adverse Modification,Jeopardy,Y,Y,Agriculture - Pesticide,For fenbutatin oxide,,,
FPR-2002-1906,Steelhead,South Central California Coast DPS,Jeopardy & Adverse Modification,,Adverse Modification,Jeopardy,Adverse Modification,Jeopardy,Y,Y,Agriculture - Pesticide,For fenbutatin oxide,South Central California Coast DPS,,
FPR-2002-1906,Steelhead,Lower Columbia River DPS,Jeopardy & Adverse Modification,,Adverse Modification,Jeopardy,Adverse Modification,Jeopardy,Y,Y,Agriculture - Pesticide,For fenbutatin oxide,,,
FPR-2002-2724,"Salmon, sockeye",,Jeopardy & Adverse Modification,,NA,NA,NA,NA,Y,NA,,,,,
FPR-2002-2724,"Salmon, coho",,Jeopardy & Adverse Modification,,NA,NA,NA,NA,Y,NA,,,,,
FPR-2002-2724,"Salmon, chum",,Jeopardy & Adverse Modification,,NA,NA,NA,NA,Y,NA,,,,,
FPR-2002-2724,"Salmon, Chinook",,Jeopardy & Adverse Modification,,NA,NA,NA,NA,Y,NA,,,,,
FPR-2002-2724,"Sea lion, Steller",,Jeopardy & Adverse Modification,,NA,NA,NA,NA,Y,NA,,,,,
FPR-2002-2724,Steelhead,,Jeopardy & Adverse Modification,,NA,NA,NA,NA,Y,NA,,,,,
FPR-2002-2724,"Salmon, Chinook",Upper Willamette River ESU,,,Adverse Modification,Jeopardy,Adverse Modification,Jeopardy,Y,Y,Agriculture - Pesticide,For malathion (round 1),,Likely to Adversely Affect,Likely to Adversely Affect
FPR-2002-2724,"Salmon, Chinook",Snake River spring/summer-run ESU,,,Adverse Modification,Jeopardy,Adverse Modification,Jeopardy,Y,Y,Agriculture - Pesticide,For malathion (round 1),,Likely to Adversely Affect,Likely to Adversely Affect
FPR-2002-2724,"Salmon, Chinook",Snake River fall-run ESU,,,Adverse Modification,Jeopardy,Adverse Modification,Jeopardy,Y,Y,Agriculture - Pesticide,For malathion (round 1),,Likely to Adversely Affect,Likely to Adversely Affect
FPR-2002-2724,"Salmon, Chinook",Sacramento River winter-run ESU,,,Adverse Modification,Jeopardy,Adverse Modification,Jeopardy,Y,Y,Agriculture - Pesticide,For malathion (round 1),,Likely to Adversely Affect,Likely to Adversely Affect
FPR-2002-2724,"Salmon, Chinook",Puget Sound ESU,,,Adverse Modification,Jeopardy,Adverse Modification,Jeopardy,Y,Y,Agriculture - Pesticide,For malathion (round 1),,Likely to Adversely Affect,Likely to Adversely Affect
FPR-2002-2724,"Salmon, Chinook",Lower Columbia River ESU,,,Adverse Modification,Jeopardy,Adverse Modification,Jeopardy,Y,Y,Agriculture - Pesticide,For malathion (round 1),,Likely to Adversely Affect,Likely to Adversely Affect
FPR-2002-2724,"Salmon, Chinook",Central Valley spring-run ESU,,,Adverse Modification,Jeopardy,Adverse Modification,Jeopardy,Y,Y,Agriculture - Pesticide,For malathion (round 1),,Likely to Adversely Affect,Likely to Adversely Affect
FPR-2002-2724,"Salmon, Chinook",California Coastal ESU,,,Adverse Modification,Jeopardy,Adverse Modification,Jeopardy,Y,Y,Agriculture - Pesticide,For malathion (round 1),,No Effect,No Effect
FPR-2002-2724,"Salmon, Chinook",Upper Columbia River spring-run ESU,,,Adverse Modification,Jeopardy,Adverse Modification,Jeopardy,Y,Y,Agriculture - Pesticide,For malathion (round 1),,Likely to Adversely Affect,Likely to Adversely Affect
FPR-2002-2724,"Salmon, chum",Columbia River ESU,,,Adverse Modification,Jeopardy,Adverse Modification,Jeopardy,Y,Y,Agriculture - Pesticide,For malathion (round 1),,Likely to Adversely Affect,Likely to Adversely Affect
FPR-2002-2724,"Salmon, chum",Hood Canal summer-run ESU,,,Adverse Modification,Jeopardy,Adverse Modification,Jeopardy,Y,Y,Agriculture - Pesticide,For malathion (round 1),,Likely to Adversely Affect,Likely to Adversely Affect
FPR-2002-2724,"Salmon, coho",Southern Oregon/Northern California Coast ESU,,,Adverse Modification,Jeopardy,Adverse Modification,Jeopardy,Y,Y,Agriculture - Pesticide,For malathion (round 1),,Likely to Adversely Affect,Likely to Adversely Affect
FPR-2002-2724,"Salmon, coho",Lower Columbia River ESU,,,No CH,Jeopardy,No CH,Jeopardy,Y,Y,Agriculture - Pesticide,For malathion (round 1),,Likely to Adversely Affect,NA
FPR-2002-2724,"Salmon, coho",Central California Coast ESU,,,Adverse Modification,Jeopardy,Adverse Modification,Jeopardy,Y,Y,Agriculture - Pesticide,For malathion (round 1),,Likely to Adversely Affect,Likely to Adversely Affect
FPR-2002-2724,"Salmon, coho",Oregon Coast ESU,,,Adverse Modification,Jeopardy,Adverse Modification,Jeopardy,Y,Y,Agriculture - Pesticide,For malathion (round 1),,Likely to Adversely Affect,Likely to Adversely Affect
FPR-2002-2724,"Salmon, sockeye",Snake River ESU,,,Adverse Modification,Jeopardy,Adverse Modification,Jeopardy,Y,Y,Agriculture - Pesticide,For malathion (round 1),,Likely to Adversely Affect,Likely to Adversely Affect
FPR-2002-2724,Steelhead,California Central Valley DPS,,,Adverse Modification,Jeopardy,Adverse Modification,Jeopardy,Y,Y,Agriculture - Pesticide,For malathion (round 1),,Likely to Adversely Affect,Likely to Adversely Affect
FPR-2002-2724,Steelhead,Central California Coast DPS,,,Adverse Modification,Jeopardy,Adverse Modification,Jeopardy,Y,Y,Agriculture - Pesticide,For malathion (round 1),,Likely to Adversely Affect,Likely to Adversely Affect
FPR-2002-2724,Steelhead,Lower Columbia River DPS,,,Adverse Modification,Jeopardy,Adverse Modification,Jeopardy,Y,Y,Agriculture - Pesticide,For malathion (round 1),,Likely to Adversely Affect,Likely to Adversely Affect
FPR-2002-2724,Steelhead,Middle Columbia River DPS,,,Adverse Modification,Jeopardy,Adverse Modification,Jeopardy,Y,Y,Agriculture - Pesticide,For malathion (round 1),,Likely to Adversely Affect,Likely to Adversely Affect
FPR-2002-2724,Steelhead,Puget Sound DPS,,,No CH,Jeopardy,No CH,Jeopardy,Y,Y,Agriculture - Pesticide,For malathion (round 1),,Likely to Adversely Affect,NA
FPR-2002-2724,Steelhead,Snake River Basin DPS,,,Adverse Modification,Jeopardy,Adverse Modification,Jeopardy,Y,Y,Agriculture - Pesticide,For malathion (round 1),,Likely to Adversely Affect,Likely to Adversely Affect
FPR-2002-2724,Steelhead,Southern California DPS,,,Adverse Modification,Jeopardy,Adverse Modification,Jeopardy,Y,Y,Agriculture - Pesticide,For malathion (round 1),,Likely to Adversely Affect,Likely to Adversely Affect
FPR-2002-2724,Steelhead,Upper Columbia River DPS,,,Adverse Modification,Jeopardy,Adverse Modification,Jeopardy,Y,Y,Agriculture - Pesticide,For malathion (round 1),,Likely to Adversely Affect,Likely to Adversely Affect
FPR-2002-2724,Steelhead,Upper Willamette River DPS,,,Adverse Modification,Jeopardy,Adverse Modification,Jeopardy,Y,Y,Agriculture - Pesticide,For malathion (round 1),,Likely to Adversely Affect,Likely to Adversely Affect
FPR-2002-2724,Steelhead,Northern California DPS,,,Adverse Modification,Jeopardy,Adverse Modification,Jeopardy,Y,Y,Agriculture - Pesticide,For malathion (round 1),,No Effect,No Effect
FPR-2002-2724,Steelhead,South Central California Coast DPS,,,Adverse Modification,Jeopardy,Adverse Modification,Jeopardy,Y,Y,Agriculture - Pesticide,For malathion (round 1),South Central California Coast DPS,Likely to Adversely Affect,Likely to Adversely Affect
FPR-2003-2430,"Salmon, chum",,Jeopardy & Adverse Modification,,NA,NA,NA,NA,Y,NA,,,,,
FPR-2003-2430,"Salmon, Chinook",,Jeopardy & Adverse Modification,,NA,NA,NA,NA,Y,NA,,,,,
FPR-2003-2430,Steelhead,,Jeopardy & Adverse Modification,,NA,NA,NA,NA,Y,NA,,,,,
FPR-2003-2430,"Salmon, sockeye",,Jeopardy & Adverse Modification,,NA,NA,NA,NA,Y,NA,,,,,
FPR-2003-2430,"Salmon, coho",,Jeopardy & Adverse Modification,,NA,NA,NA,NA,Y,NA,,,,,
FPR-2003-2430,"Salmon, Chinook",Upper Willamette River ESU,,,Adverse Modification,Jeopardy,Adverse Modification,Jeopardy,Y,Y,Agriculture - Pesticide,For carbaryl,,Likely to Adversely Affect,Likely to Adversely Affect
FPR-2003-2430,"Salmon, Chinook",Snake River spring/summer-run ESU,,,Adverse Modification,Jeopardy,Adverse Modification,Jeopardy,Y,Y,Agriculture - Pesticide,For carbaryl,,Likely to Adversely Affect,Likely to Adversely Affect
FPR-2003-2430,"Salmon, Chinook",Snake River fall-run ESU,,,Adverse Modification,Jeopardy,Adverse Modification,Jeopardy,Y,Y,Agriculture - Pesticide,For carbaryl,,Likely to Adversely Affect,Likely to Adversely Affect
FPR-2003-2430,"Salmon, Chinook",Sacramento River winter-run ESU,,,Adverse Modification,Jeopardy,Adverse Modification,Jeopardy,Y,Y,Agriculture - Pesticide,For carbaryl,,Likely to Adversely Affect,Likely to Adversely Affect
FPR-2003-2430,"Salmon, Chinook",Puget Sound ESU,,,Adverse Modification,Jeopardy,Adverse Modification,Jeopardy,Y,Y,Agriculture - Pesticide,For carbaryl,,Likely to Adversely Affect,Likely to Adversely Affect
FPR-2003-2430,"Salmon, Chinook",Lower Columbia River ESU,,,Adverse Modification,Jeopardy,Adverse Modification,Jeopardy,Y,Y,Agriculture - Pesticide,For carbaryl,,Likely to Adversely Affect,Likely to Adversely Affect
FPR-2003-2430,"Salmon, Chinook",Central Valley spring-run ESU,,,Adverse Modification,Jeopardy,Adverse Modification,Jeopardy,Y,Y,Agriculture - Pesticide,For carbaryl,,Likely to Adversely Affect,Likely to Adversely Affect
FPR-2003-2430,"Salmon, Chinook",Upper Columbia River spring-run ESU,,,Adverse Modification,Jeopardy,Adverse Modification,Jeopardy,Y,Y,Agriculture - Pesticide,For carbaryl,,Likely to Adversely Affect,Likely to Adversely Affect
FPR-2003-2430,"Salmon, Chinook",California Coastal ESU,,,Adverse Modification,Jeopardy,Adverse Modification,Jeopardy,Y,Y,Agriculture - Pesticide,For carbaryl,,Likely to Adversely Affect,Likely to Adversely Affect
FPR-2003-2430,"Salmon, coho",Southern Oregon/Northern California Coast ESU,,,Adverse Modification,Jeopardy,Adverse Modification,Jeopardy,Y,Y,Agriculture - Pesticide,For carbaryl,,No Effect,No Effect
FPR-2003-2430,"Salmon, coho",Lower Columbia River ESU,,,No CH,Jeopardy,No CH,Jeopardy,Y,Y,Agriculture - Pesticide,For carbaryl,,NA,NA
FPR-2003-2430,"Salmon, coho",Central California Coast ESU,,,Adverse Modification,Jeopardy,Adverse Modification,Jeopardy,Y,Y,Agriculture - Pesticide,For carbaryl,,Likely to Adversely Affect,Likely to Adversely Affect
FPR-2003-2430,Steelhead,California Central Valley DPS,,,Adverse Modification,Jeopardy,Adverse Modification,Jeopardy,Y,Y,Agriculture - Pesticide,For carbaryl,,Likely to Adversely Affect,Likely to Adversely Affect
FPR-2003-2430,Steelhead,Central California Coast DPS,,,Adverse Modification,Jeopardy,Adverse Modification,Jeopardy,Y,Y,Agriculture - Pesticide,For carbaryl,,Likely to Adversely Affect,Likely to Adversely Affect
