NMFS.Tracking.Number,Common.Name,Population.Name,NMFS.Final.Determination..Species.,NMFS.Final.Determination..Critical.Habitat.
960066,"Turtle, Kemp's ridley sea",Range-wide,"Jeopardy, No Adverse Mod","Jeopardy, No Adverse Mod"
960066,"Sturgeon, shortnose",Range-wide,"Jeopardy, No Adverse Mod","Jeopardy, No Adverse Mod"
960067,"Whale, North Atlantic right",Western Atlantic Stock,"Jeopardy, No Adverse Mod","Jeopardy, No Adverse Mod"
960067,"Turtle, leatherback sea",Range-wide,"Jeopardy, No Adverse Mod","Jeopardy, No Adverse Mod"
960067,"Turtle, loggerhead sea",Range-wide,"Jeopardy, No Adverse Mod","Jeopardy, No Adverse Mod"
960067,"Whale, blue",Range-wide,"Jeopardy, No Adverse Mod","Jeopardy, No Adverse Mod"
960067,"Whale, fin",Range-wide,"Jeopardy, No Adverse Mod","Jeopardy, No Adverse Mod"
960067,"Whale, sperm",Range-wide,"Jeopardy, No Adverse Mod","Jeopardy, No Adverse Mod"
960067,"Whale, humpback",Western North Atlantic Stock,"Jeopardy, No Adverse Mod","Jeopardy, No Adverse Mod"
AKR-1998-1409,,,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
AKR-2000-978,"Salmon, sockeye",Snake River ESU,"Jeopardy, No Adverse Mod","Jeopardy, No Adverse Mod"
AKR-2000-978,"Turtle, leatherback sea",Range-wide,"Jeopardy, No Adverse Mod","Jeopardy, No Adverse Mod"
AKR-2000-978,"Whale, fin",Northeast Pacific Stock,"Jeopardy, No Adverse Mod","Jeopardy, No Adverse Mod"
AKR-2000-978,"Whale, sei",Eastern North Pacific Stock,"Jeopardy, No Adverse Mod","Jeopardy, No Adverse Mod"
AKR-2000-978,"Whale, sperm",North Pacific Stock,"Jeopardy, No Adverse Mod","Jeopardy, No Adverse Mod"
AKR-2006-7616,"Sea lion, Steller",Eastern US DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
AKR-2016-9555,"Seal, ringed",Arctic Subspecies,"Jeopardy, No Adverse Mod",
FPR-2002-1901,Steelhead,California Central Valley DPS,Jeopardy & Adverse Modification,
FPR-2002-1901,Steelhead,Central California Coast DPS,Jeopardy & Adverse Modification,
FPR-2002-1901,Steelhead,Lower Columbia River DPS,Jeopardy & Adverse Modification,
FPR-2002-1901,Steelhead,Middle Columbia River DPS,Jeopardy & Adverse Modification,
FPR-2002-1901,Steelhead,Puget Sound DPS,Jeopardy & Adverse Modification,
FPR-2002-1901,Steelhead,Snake River Basin DPS,Jeopardy & Adverse Modification,
FPR-2002-1901,Steelhead,Central California Coast DPS,Jeopardy & Adverse Modification,
FPR-2002-1901,Steelhead,Southern California DPS,Jeopardy & Adverse Modification,
FPR-2002-1901,Steelhead,Upper Columbia River DPS,Jeopardy & Adverse Modification,
FPR-2002-1901,Steelhead,Upper Willamette River DPS,Jeopardy & Adverse Modification,
FPR-2002-1901,"Salmon, coho",Southern Oregon/Northern California Coast ESU,Jeopardy & Adverse Modification,
FPR-2002-1901,"Salmon, coho",Lower Columbia River ESU,Jeopardy & Adverse Modification,
FPR-2002-1901,"Salmon, coho",Central California Coast ESU,Jeopardy & Adverse Modification,
FPR-2002-1901,"Salmon, Chinook",Upper Willamette River ESU,Jeopardy & Adverse Modification,
FPR-2002-1901,"Salmon, Chinook",Snake River spring/summer-run ESU,Jeopardy & Adverse Modification,
FPR-2002-1901,"Salmon, Chinook",Sacramento River winter-run ESU,Jeopardy & Adverse Modification,
FPR-2002-1901,"Salmon, Chinook",Puget Sound ESU,Jeopardy & Adverse Modification,
FPR-2002-1901,"Salmon, Chinook",Lower Columbia River ESU,Jeopardy & Adverse Modification,
FPR-2002-1901,"Salmon, Chinook",Central Valley spring-run ESU,Jeopardy & Adverse Modification,
FPR-2002-1901,"Salmon, Chinook",California Coastal ESU,Jeopardy & Adverse Modification,
FPR-2002-1905,"Salmon, Chinook",,Jeopardy & Adverse Modification,
FPR-2002-1905,"Salmon, chum",,Jeopardy & Adverse Modification,
FPR-2002-1905,"Salmon, coho",,Jeopardy & Adverse Modification,
FPR-2002-1905,"Salmon, sockeye",,Jeopardy & Adverse Modification,
FPR-2002-1905,Steelhead,,Jeopardy & Adverse Modification,
FPR-2002-1906,Steelhead,Middle Columbia River DPS,Jeopardy & Adverse Modification,
FPR-2002-1906,Steelhead,Puget Sound DPS,Jeopardy & Adverse Modification,
FPR-2002-1906,Steelhead,Snake River Basin DPS,Jeopardy & Adverse Modification,
FPR-2002-1906,Steelhead,Central California Coast DPS,Jeopardy & Adverse Modification,
FPR-2002-1906,Steelhead,Southern California DPS,Jeopardy & Adverse Modification,
FPR-2002-1906,Steelhead,Upper Columbia River DPS,Jeopardy & Adverse Modification,
FPR-2002-1906,Steelhead,Upper Willamette River DPS,Jeopardy & Adverse Modification,
FPR-2002-1906,"Salmon, Chinook",California Coastal ESU,Jeopardy & Adverse Modification,
FPR-2002-1906,"Salmon, Chinook",Central Valley spring-run ESU,Jeopardy & Adverse Modification,
FPR-2002-1906,"Salmon, Chinook",Lower Columbia River ESU,Jeopardy & Adverse Modification,
FPR-2002-1906,"Salmon, Chinook",Puget Sound ESU,Jeopardy & Adverse Modification,
FPR-2002-1906,"Salmon, Chinook",Sacramento River winter-run ESU,Jeopardy & Adverse Modification,
FPR-2002-1906,"Salmon, Chinook",Snake River spring/summer-run ESU,Jeopardy & Adverse Modification,
FPR-2002-1906,"Salmon, Chinook",Upper Columbia River spring-run ESU,Jeopardy & Adverse Modification,
FPR-2002-1906,"Salmon, Chinook",Upper Willamette River ESU,Jeopardy & Adverse Modification,
FPR-2002-1906,"Salmon, coho",Central California Coast ESU,Jeopardy & Adverse Modification,
FPR-2002-1906,"Salmon, coho",Lower Columbia River ESU,Jeopardy & Adverse Modification,
FPR-2002-1906,"Salmon, coho",Southern Oregon/Northern California Coast ESU,Jeopardy & Adverse Modification,
FPR-2002-1906,Steelhead,California Central Valley DPS,Jeopardy & Adverse Modification,
FPR-2002-1906,Steelhead,Central California Coast DPS,Jeopardy & Adverse Modification,
FPR-2002-1906,Steelhead,Lower Columbia River DPS,Jeopardy & Adverse Modification,
FPR-2002-2724,"Salmon, sockeye",,Jeopardy & Adverse Modification,
FPR-2002-2724,"Salmon, coho",,Jeopardy & Adverse Modification,
FPR-2002-2724,"Salmon, chum",,Jeopardy & Adverse Modification,
FPR-2002-2724,"Salmon, Chinook",,Jeopardy & Adverse Modification,
FPR-2002-2724,"Sea lion, Steller",,Jeopardy & Adverse Modification,
FPR-2002-2724,Steelhead,,Jeopardy & Adverse Modification,
FPR-2003-2430,"Salmon, chum",,Jeopardy & Adverse Modification,
FPR-2003-2430,"Salmon, Chinook",,Jeopardy & Adverse Modification,
FPR-2003-2430,Steelhead,,Jeopardy & Adverse Modification,
FPR-2003-2430,"Salmon, sockeye",,Jeopardy & Adverse Modification,
FPR-2003-2430,"Salmon, coho",,Jeopardy & Adverse Modification,
FPR-2003-2432,Steelhead,Lower Columbia River DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2432,Steelhead,Middle Columbia River DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2432,Steelhead,Northern California DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2432,Steelhead,Puget Sound DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2432,Steelhead,Snake River Basin DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2432,Steelhead,Central California Coast DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2432,Steelhead,Southern California DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2432,Steelhead,Upper Columbia River DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2432,Steelhead,Upper Willamette River DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2432,"Salmon, Chinook",California Coastal ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2432,"Salmon, Chinook",Central Valley spring-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2432,"Salmon, Chinook",Lower Columbia River ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2432,"Salmon, Chinook",Puget Sound ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2432,"Salmon, Chinook",Sacramento River winter-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2432,"Salmon, Chinook",Snake River fall-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2432,"Salmon, Chinook",Upper Columbia River spring-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2432,"Salmon, Chinook",Upper Willamette River ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2432,"Salmon, chum",Columbia River ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2432,"Salmon, chum",Hood Canal summer-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2432,"Salmon, coho",Central California Coast ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2432,"Salmon, coho",Lower Columbia River ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2432,"Salmon, coho",Oregon Coast ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2432,"Salmon, coho",Southern Oregon/Northern California Coast ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2432,"Salmon, sockeye",Ozette Lake ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2432,"Salmon, sockeye",Snake River ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2432,Steelhead,California Central Valley DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2432,Steelhead,Central California Coast DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2433,"Salmon, Chinook",California Coastal ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2433,"Salmon, Chinook",Central Valley spring-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2433,"Salmon, Chinook",Upper Columbia River spring-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2433,"Salmon, Chinook",Snake River spring/summer-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2433,Steelhead,Upper Willamette River DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2433,Steelhead,Upper Columbia River DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2433,Steelhead,Southern California DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2433,Steelhead,Central California Coast DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2433,Steelhead,Snake River Basin DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2433,Steelhead,Puget Sound DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2433,Steelhead,Northern California DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2433,Steelhead,Middle Columbia River DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2433,Steelhead,Lower Columbia River DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2433,Steelhead,Central California Coast DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2433,Steelhead,California Central Valley DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2433,"Salmon, sockeye",Snake River ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2433,"Salmon, sockeye",Ozette Lake ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2433,"Salmon, coho",Southern Oregon/Northern California Coast ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2433,"Salmon, coho",Oregon Coast ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2433,"Salmon, coho",Lower Columbia River ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2433,"Salmon, coho",Central California Coast ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2433,"Salmon, chum",Hood Canal summer-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2433,"Salmon, chum",Columbia River ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2433,"Salmon, Chinook",Upper Willamette River ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2433,"Salmon, Chinook",Snake River fall-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2433,"Salmon, Chinook",Sacramento River winter-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2433,"Salmon, Chinook",Puget Sound ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2433,"Salmon, Chinook",Lower Columbia River ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2434,"Salmon, Chinook",Lower Columbia River ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2434,"Salmon, coho",Oregon Coast ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2434,Steelhead,Central California Coast DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2434,"Salmon, sockeye",Snake River ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2434,"Salmon, coho",Lower Columbia River ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2434,"Salmon, coho",Central California Coast ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2434,"Salmon, Chinook",California Coastal ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2434,"Salmon, chum",Hood Canal summer-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2434,"Salmon, chum",Columbia River ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2434,"Salmon, Chinook",Upper Willamette River ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2434,"Salmon, Chinook",Upper Columbia River spring-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2434,Steelhead,Upper Willamette River DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2434,Steelhead,Southern California DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2434,Steelhead,Central California Coast DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2434,Steelhead,Snake River Basin DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2434,Steelhead,Puget Sound DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2434,Steelhead,Northern California DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2434,Steelhead,Middle Columbia River DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2434,Steelhead,Lower Columbia River DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2434,"Salmon, sockeye",Ozette Lake ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2434,"Salmon, coho",Southern Oregon/Northern California Coast ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2434,"Salmon, Chinook",Snake River spring/summer-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2434,"Salmon, Chinook",Snake River fall-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2434,"Salmon, Chinook",Sacramento River winter-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2434,"Salmon, Chinook",Puget Sound ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2434,"Salmon, Chinook",Central Valley spring-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2435,"Salmon, Chinook",Central Valley spring-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2435,"Salmon, Chinook",Lower Columbia River ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2435,"Salmon, Chinook",Puget Sound ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2435,"Salmon, Chinook",Sacramento River winter-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2435,"Salmon, Chinook",Snake River fall-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2435,"Salmon, Chinook",Snake River spring/summer-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2435,"Salmon, Chinook",Upper Columbia River spring-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2435,"Salmon, Chinook",Upper Willamette River ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2435,"Salmon, chum",Columbia River ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2435,"Salmon, chum",Hood Canal summer-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2435,"Salmon, coho",Central California Coast ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2435,"Salmon, coho",Lower Columbia River ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2435,"Salmon, coho",Oregon Coast ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2435,"Salmon, coho",Southern Oregon/Northern California Coast ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2435,"Salmon, sockeye",Ozette Lake ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2435,"Salmon, sockeye",Snake River ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2435,Steelhead,California Central Valley DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2435,Steelhead,Central California Coast DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2435,Steelhead,Lower Columbia River DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2435,Steelhead,Middle Columbia River DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2435,Steelhead,Northern California DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2435,Steelhead,Puget Sound DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2435,Steelhead,Snake River Basin DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2435,Steelhead,Central California Coast DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2435,Steelhead,Southern California DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2435,Steelhead,Upper Columbia River DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2435,Steelhead,Upper Willamette River DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2436,"Salmon, Chinook",Central Valley spring-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2436,Steelhead,Upper Willamette River DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2436,"Salmon, Chinook",California Coastal ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2436,"Salmon, Chinook",Puget Sound ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2436,"Salmon, Chinook",Sacramento River winter-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2436,"Salmon, Chinook",Snake River fall-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2436,"Salmon, Chinook",Snake River spring/summer-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2436,"Salmon, Chinook",Upper Columbia River spring-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2436,"Salmon, Chinook",Upper Willamette River ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2436,"Salmon, chum",Hood Canal summer-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2436,"Salmon, coho",Central California Coast ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2436,"Salmon, coho",Lower Columbia River ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2436,"Salmon, coho",Oregon Coast ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2436,"Salmon, coho",Southern Oregon/Northern California Coast ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2436,"Salmon, sockeye",Ozette Lake ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2436,"Salmon, sockeye",Snake River ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2436,Steelhead,California Central Valley DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2436,Steelhead,Central California Coast DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2436,Steelhead,Lower Columbia River DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2436,Steelhead,Middle Columbia River DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2436,Steelhead,Northern California DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2436,Steelhead,Puget Sound DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2436,Steelhead,Snake River Basin DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2436,Steelhead,Central California Coast DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2436,Steelhead,Southern California DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2436,Steelhead,Upper Columbia River DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2436,"Salmon, Chinook",Lower Columbia River ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-427,"Salmon, coho",Oregon Coast ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-427,"Salmon, coho",Southern Oregon/Northern California Coast ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-427,"Salmon, sockeye",Ozette Lake ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-427,"Salmon, sockeye",Snake River ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-427,Steelhead,California Central Valley DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-427,Steelhead,Central California Coast DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-427,Steelhead,Lower Columbia River DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-427,Steelhead,Middle Columbia River DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-427,Steelhead,Northern California DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-427,Steelhead,Snake River Basin DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-427,Steelhead,Central California Coast DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-427,Steelhead,Southern California DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
